russian_title,english_title,director_name_rus,year
Тьма (сериал),Dark (2017 – 2020) 60 мин.,Баран бо Одар,
Клуб «CBGB»,CBGB,Рэндолл Миллер,2013
Другие ипостаси,Altered States,Кен Рассел,1980
Взгляд Одиссея,To vlemma tou Odyssea,Тео Ангелопулос,1995
Детективное агентство Дирка Джентли (сериал),Dirk Gently's Holistic Detective Agency (2016 – 2017) 60 мин.,Майкл Патрик Джэнн,
Колесо времени,Wheel of Time,Вернер Херцог,2003
Квадрат,The Square,Рубен Эстлунд,2017
Последняя волна,The Last Wave,Питер Уир,1977
Версия 1.0,One Point O,Джефф Ренфро,2003
Отрочество,Boyhood,Ричард Линклейтер,2014
Бремя мечты,Burden of Dreams,Лес Бланк,1982
Все к лучшему (сериал),Better Things (2016 – 2022) 22 мин.,Памела Адлон,
Конформист,Il conformista,Бернардо Бертолуччи,1970
Ангел-истребитель,El Ángel exterminador,Луис Бунюэль,1962
Грабь награбленное (сериал),Leverage (2008 – 2012) 43 мин.,Марк Роскин,
Убийство на пляже (сериал),Broadchurch (2013 – 2017) 46 мин.,Джеймс Стронг,
Непослушный Бабби,Bad Boy Bubby,Рольф Де Хер,1993
Примесь,Upstream Color,Шейн Каррут,2013
Одиночество простых чисел,La solitudine dei numeri primi,Саверио Костанцо,2010
Ветреная река,Wind River,Тейлор Шеридан,2016
Кислотный дом,The Acid House,Пол Макгиган,1998
Зардоз,Zardoz,Джон Бурмен,1974
Звездная карта,Maps to the Stars,Дэвид Кроненберг,2014
Я не боюсь,Io non ho paura,Габриэле Сальваторес,2003
Кодер,Cypher,Винченцо Натали,2002
Аладдин Адама Грина,Adam Green's Aladdin,Адам Грин,2016
Это – Spinal Tap,This Is Spinal Tap,Роб Райнер,1984
Подмена,Changeling,Клинт Иствуд,2008
Ночь на галактической железной дороге,Ginga-tetsudô no yoru,Гисабуро Сугии,1985
За гранью страха,Borderland,Зев Берман,2007
Удушье,Choke,Кларк Грегг,2008
Трио из Бельвилля,Les triplettes de Belleville,Сильвен Шомэ,2003
Рождённый убивать,Koroshi no rakuin,Сэйдзюн Судзуки,1967
"Дядюшка Бунми, который помнит свои прошлые жизни",Loong Boonmee raleuk chat,Апичатпонг Вирасетхакул,2010
Персона,Persona,Ингмар Бергман,1966
В доме,Dans la maison,Франсуа Озон,2012
Дэвид Линч: Жизнь в искусстве,David Lynch: The Art Life,Рик Барнс,2016
Не кричи «Волки!»,Never Cry Wolf,Кэррол Бэллард,1983
Ханна. Совершенное оружие,Hanna,Джо Райт,2010
Майти Буш (сериал),The Mighty Boosh (2003 – 2007) 27 мин.,Пол Кинг,
Одержимая,Possession,Анджей Жулавский,1981
Плохой лейтенант,Bad Lieutenant,Абель Феррара,1992
Влияние гамма-лучей на поведение маргариток,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,Пол Ньюман,1972
"Агирре, гнев божий","Aguirre, der Zorn Gottes",Вернер Херцог,1972
Восставший,Joiuchi: hairyo tsuma shimatsu,Масаки Кобаяси,1967
Связанные насмерть,Dead Ringers,Дэвид Кроненберг,1988
Полынь: Дорога мёртвых,Wyrmwood,Кия Роуч-Тернер,2014
Потери неизбежны,Mit Verlust ist zu rechnen,Ульрих Зайдль,1992
Замок,(1994) 120 мин.,Алексей Балабанов,
Открытые окна,Open Windows,Начо Вигалондо,2014
Комната бабочек,The Butterfly Room,Джонатан Дзарантонелло,2012
Маньяк,Maniac,Франк Халфун,2012
Рассказ служанки (сериал),The Handmaid's Tale (2017 – ...) 60 мин.,Майк Баркер,
"Более странно, чем в раю",Stranger Than Paradise,Джим Джармуш,1984
Токсичный мститель,The Toxic Avenger,Майкл Херц,1984
Лабиринты,Dédales,Рене Манзор,2003
Симон Волхв,Simon mágus,Ильдико Эньеди,1999
Хронос,Chronos,Рон Фрике,1985
Однажды ночью в одном городе,Jedné noci v jednom meste,Ян Балей,2007
Объятия змея,El abrazo de la serpiente,Сиро Герра,2014
Терминал,The Terminal,Стивен Спилберг,2004
Киногид извращенца: Идеология,The Pervert's Guide to Ideology,Софи Файнс,2012
Тельма и Луиза,Thelma & Louise,Ридли Скотт,1991
Корпорация «Бессмертие»,Freejack,Джефф Мерфи,1992
ОА (сериал),The OA (2016 – 2019) 60 мин.,Зал Батманглидж,
Месть ниндзя,Revenge of the Ninja,Сэм Фёрстенберг,1983
Самый главный босс,Direktøren for det hele,Ларс фон Триер,2006
Мерцание,Flicker,Ник Шиэн,2008
Паук,Spider,Дэвид Кроненберг,2002
Дьявольское око,Djävulens öga,Ингмар Бергман,1960
Нерв,Nerve,Генри Джуст,2016
Разрисованная вуаль,The Painted Veil,Джон Кёрран,2006
Франкенштейн: Ли Миллер,Frankenstein,Дэнни Бойл,2011
Пена дней,L'écume des jours,Мишель Гондри,2013
Раковина и священник,La coquille et le clergyman,Жермен Дюлак,1927
"Голубь сидел на ветке, размышляя о бытии",En duva satt på en gren och funderade på tillvaron,Рой Андерссон,2014
Витгенштейн,Wittgenstein,Дерек Джармен,1993
Песни пьющих,Pod mocnym aniolem,Войчех Смажовски,2014
Наказание,Detention,Джозеф Кан,2011
Тибетская книга мертвых: Путь к жизни,The Tibetan Book of the Dead: A Way of Life,Юкари Хаяси,1994
Чужие из бездны,Aliens of the Deep,Джеймс Кэмерон,2004
Агора,Agora,Алехандро Аменабар,2009
Тонкая красная линия,The Thin Red Line,Терренс Малик,1998
Господин оформитель,(1988) 109 мин.,Олег Тепцов,
Сердце Ангела,Angel Heart,Алан Паркер,1987
Три шага в бреду,Histoires extraordinaires,Федерико Феллини,1968
Таксист,Taxi Driver,Мартин Скорсезе,1976
Охота,Jagten,Томас Винтерберг,2012
Три истории,(1997) 105 мин.,Кира Муратова,
Правда пацана,The United States of Leland,Мэттью Райан Ходж,2003
Человек-слон,The Elephant Man,Дэвид Линч,1980
Вкус чая,Cha no aji,Кацухито Исии,2003
Ключ от преисподней,Baskin,Джан Эвренол,2015
"Там, где бродит бизон",Where the Buffalo Roam,Арт Линсон,1980
Грань (сериал),Fringe (2008 – 2013) 43 мин.,Джо Чаппелль,
Осенняя соната,Höstsonaten,Ингмар Бергман,1978
Дорога,La strada,Федерико Феллини,1954
Хайди,Heidi,Ален Гспонер,2015
Академия Рашмор,Rushmore,Уэс Андерсон,1998
Бутылочная ракета,Bottle Rocket,Уэс Андерсон,1995
Семейка Тененбаум,The Royal Tenenbaums,Уэс Андерсон,2001
Убить скуку (сериал),Bored to Death (2009 – 2011) 22 мин.,Майкл Леманн,
Знакомство с родителями,Meet the Parents,Джей Роуч,2000
